# Freq,Yaw,Pitch
# Hz,deg**2/Hz,deg**2/Hz
2.05E-04,1.50E-13,1.50E-13
0.000305442,1.57E-13,1.57E-13
0.000455472,8.20E-13,8.20E-13
0.000679194,2.08E-12,2.08E-12
0.001012808,1.27E-12,1.27E-12
0.001510289,1.31E-12,1.31E-12
0.002252127,2.99E-12,2.99E-12
0.003358348,3.21E-12,3.21E-12
0.005007934,5.15E-12,5.15E-12
0.007467779,9.62E-12,9.62E-12
0.011135874,2.88E-11,2.88E-11
0.016605701,5.10E-11,5.10E-11
0.024762249,7.14E-11,7.14E-11
0.03692521,5.26E-11,5.26E-11
0.055062491,2.56E-11,2.56E-11
0.082108616,1.05E-11,1.05E-11
0.122439519,3.15E-12,3.15E-12
0.182580543,1.05E-12,1.05E-12
0.272262217,4.51E-13,4.51E-13
0.4059946,2.62E-13,2.62E-13
0.605414946,1.51E-13,1.51E-13
0.902788502,1.00E-13,1.00E-13
1.346228872,5.43E-14,5.43E-14
2.007482563,2.25E-14,2.25E-14
2.993537223,7.16E-15,7.16E-15
4.463931728,6.34E-15,6.34E-15
6.656568798,5.52E-15,5.52E-15
